player_id,name,position,team,rank_value,bye,status
8210,Chig Okonkwo,TE,TEN,190.0,0,Active
4988,Nick Chubb,RB,HOU,191.0,0,Active
12471,DJ Giddens,RB,IND,192.0,0,Active
11651,Isaac Guerendo,RB,SF,193.0,0,Active
11569,Jarquez Hunter,RB,LAR,194.0,0,Active
8132,Tyler Allgeier,RB,ATL,195.0,0,Active
1479,Keenan Allen,WR,LAC,196.0,0,Active
11586,Blake Corum,RB,LAR,197.0,0,Active
12495,Ollie Gordon II,RB,MIA,198.0,0,Active
4993,Mike Gesicki,TE,CIN,199.0,0,Active
11597,Theo Johnson,TE,NYG,200.0,0,Active
11630,Roman Wilson,WR,PIT,201.0,0,Active
1426,DeAndre Hopkins,WR,BAL,202.0,0,Active
6826,Cole Kmet,TE,CHI,203.0,0,Active
12541,Dont'e Thornton Jr.,WR,LV,204.5,0,Active
7021,Rico Dowdle,RB,CAR,204.5,0,Active
8143,Jerome Ford,RB,CLE,206.0,0,Active
8142,Alec Pierce,WR,IND,207.0,0,Active
11596,Ben Sinnott,TE,WAS,208.0,0,Active
12455,Brashard Smith,RB,KC,210.0,0,Active
10232,Michael Wilson,WR,ARI,210.0,0,Active
9486,Dontayvion Wicks,WR,GB,210.0,0,Active
11581,MarShawn Lloyd,RB,GB,212.5,0,Active
1339,Zach Ertz,TE,WAS,212.5,0,Active
12510,Jalen Milroe,QB,SEA,214.0,0,Active
10235,Roschon Johnson,RB,CHI,215.0,0,Active
5870,Daniel Jones,QB,IND,216.0,0,Active
5001,Dalton Schultz,TE,HOU,217.5,0,Active
12543,Tahj Brooks,RB,CIN,217.5,0,Active
11610,Malik Washington,WR,MIA,219.0,0,Active
12474,Woody Marks,RB,HOU,220.5,0,Active
12493,Oronde Gadsden II,TE,LAC,220.5,0,Active
5937,Diontae Johnson,WR,FA,222.0,0,Active
1689,Adam Thielen,WR,MIN,223.5,0,Active
12482,Savion Williams,WR,GB,223.5,0,Active
2309,Amari Cooper,WR,LV,225.0,0,Active
6149,Darius Slayton,WR,NYG,226.0,0,Active
11577,Will Shipley,RB,PHI,227.5,0,Active
12670,KeAndre Lambert-Smith,WR,LAC,227.5,0,Active
10226,Andrei Iosivas,WR,CIN,229.0,0,Active
9757,Kendre Miller,RB,NO,231.5,0,Active
12534,Kyle Monangai,RB,CHI,231.5,0,Active
9504,Kayshon Boutte,WR,NE,231.5,0,Active
12545,Tyler Shough,QB,NO,231.5,0,Active
4663,Austin Ekeler,RB,WAS,235.5,0,Active
11834,Devaughn Vele,WR,NO,235.5,0,Active
12542,Efton Chism III,WR,NE,235.5,0,Active
96,Aaron Rodgers,QB,PIT,235.5,0,Active
1234,Russell Wilson,QB,NYG,238.0,0,Active
12476,Devin Neal,RB,NO,239.0,0,Active
12496,Tai Felton,WR,MIN,240.0,0,Active
7002,Juwan Johnson,TE,NO,241.5,0,Active
4171,Josh Reynolds,WR,NYJ,241.5,0,Active
7596,Elijah Moore,WR,BUF,243.0,0,Active
2374,Tyler Lockett,WR,TEN,245.5,0,Active
8125,Calvin Austin III,WR,PIT,245.5,0,Active
12467,Jordan James,RB,SF,245.5,0,Active
11650,Luke McCaffrey,WR,WAS,245.5,0,Active
9511,Keaton Mitchell,RB,BAL,248.0,0,Active
12524,Shedeur Sanders,QB,CLE,249.0,0,Active
5096,Ray-Ray McCloud III,WR,ATL,251.0,0,Active
7587,Dyami Brown,WR,JAC,251.0,0,Active
5857,Noah Fant,TE,CIN,251.0,0,Active
11623,Jordan Whittington,WR,LAR,253.5,0,Active
12503,Isaiah Bond,WR,CLE,253.5,0,Active
19,Joe Flacco,QB,CLE,256.0,0,Active
6271,Olamide Zaccheaus,WR,CHI,256.0,0,Active
10213,Tre Tucker,WR,LV,256.0,0,Active
4381,Taysom Hill,TE,NO,259.0,0,Active
9482,Michael Mayer,TE,LV,259.0,0,Active
2505,Darren Waller,TE,MIA,259.0,0,Active
11562,Spencer Rattler,QB,NO,261.0,0,Active
12531,Trevor Etienne,RB,CAR,263.0,0,Active
6151,Miles Sanders,RB,DAL,263.0,0,Active
5133,Tyler Conklin,TE,LAC,263.0,0,Active
11619,Ja'Lynn Polk,WR,NE,266.5,0,Active
4082,Curtis Samuel,WR,BUF,266.5,0,Active
11633,Jamari Thrash,WR,CLE,266.5,0,Active
11645,Javon Baker,WR,NE,266.5,0,Active
12486,Dillon Gabriel,QB,CLE,271.5,0,Active
9479,Darnell Washington,TE,PIT,271.5,0,Active
11579,Audric Estime,RB,FA,271.5,0,Active
3271,Tyler Higbee,TE,LAR,271.5,0,Active
7562,Tutu Atwell,WR,LAR,271.5,0,Active
2197,Brandin Cooks,WR,NO,271.5,0,Active
8180,Jalen Nailor,WR,MIN,277.0,0,Active
11640,Jermaine Burton,WR,CIN,277.0,0,Active
12641,Jaylin Lane,WR,WAS,277.0,0,Active
12500,Quinn Ewers,QB,MIA,277.0,0,Active
11571,Isaiah Davis,RB,NYJ,277.0,0,Active
11603,AJ Barner,TE,SEA,282.0,0,Active
11439,Jaleel McLaughlin,RB,DEN,282.0,0,Active
12502,Gunnar Helm,TE,TEN,282.0,0,Active
9487,Parker Washington,WR,JAC,282.0,0,Active
12462,Damien Martinez,RB,SEA,282.0,0,Active
7828,Noah Gray,TE,KC,286.0,0,Active
6943,Gabe Davis,WR,FA,286.0,0,Active
4080,Zay Jones,WR,ARI,286.0,0,Active
7496,Nick Westbrook-Ikhine,WR,MIA,290.0,0,Active
6130,Devin Singletary,RB,NYG,290.0,0,Active
12715,Thomas Fidone II,TE,NYG,290.0,0,Active
8917,KaVontae Turpin,WR,DAL,290.0,0,Active
12472,Raheim Sanders,RB,CLE,290.0,0,Active
4454,Kendrick Bourne,WR,FA,294.5,0,Active
8147,John Metchie III,WR,PHI,294.5,0,Active
5010,Will Dissly,TE,LAC,294.5,0,Active
12700,Gavin Bartholomew,TE,MIN,294.5,0,Active
11647,Kimani Vidal,RB,LAC,301.0,0,Active
12540,Chimere Dike,WR,TEN,301.0,0,Active
8117,Jalen Tolbert,WR,DAL,301.0,0,Active
10218,Xavier Hutchinson,WR,HOU,301.0,0,Active
2306,Jameis Winston,QB,NYG,301.0,0,Active
6938,Cam Akers,RB,FA,301.0,0,Active
4351,Tim Patrick,WR,JAC,301.0,0,Active
11570,Rasheen Ali,RB,BAL,301.0,0,Active
6945,Antonio Gibson,RB,NE,301.0,0,Active
11370,Chris Brooks,RB,GB,312.0,0,Active
4098,Kareem Hunt,RB,KC,312.0,0,Active
12544,LeQuint Allen Jr.,RB,JAC,312.0,0,Active
9999,Will Levis,QB,TEN,312.0,0,Active
4234,Noah Brown,WR,WAS,312.0,0,Active
10867,Jake Bobo,WR,SEA,312.0,0,Active
7561,Elijah Mitchell,RB,KC,312.0,0,Active
12520,Xavier Restrepo,WR,TEN,312.0,0,Active
12485,Tez Johnson,WR,TB,312.0,0,Active
10219,Chris Rodriguez Jr.,RB,WAS,312.0,0,Active
9481,Luke Musgrave,TE,GB,312.0,0,Active
5906,Dawson Knox,TE,BUF,312.0,0,Active
8220,Sincere McCormick,RB,SF,312.0,0,Active
11599,Cade Stover,TE,HOU,322.5,0,Active
9506,Sean Tucker,RB,TB,322.5,0,Active
3202,Austin Hooper,TE,NE,322.5,0,Active
11629,Devontez Walker,WR,BAL,322.5,0,Active
12475,Ricky White III,WR,SEA,322.5,0,Active
5185,Allen Lazard,WR,NYJ,322.5,0,Active
12634,Jordan Watkins,WR,SF,322.5,0,Active
5995,Justice Hill,RB,BAL,322.5,0,Active
7567,Kenneth Gainwell,RB,PIT,329.0,0,Active
11616,Jacob Cowing,WR,SF,329.0,0,Active
12515,Donovan Edwards,RB,WAS,329.0,0,Active
11617,Malachi Corley,WR,CLE,329.0,0,Active
11592,Erick All Jr.,TE,CIN,329.0,0,Active
12511,Will Howard,QB,PIT,336.0,0,Active
8119,Jahan Dotson,WR,PHI,336.0,0,Active
3286,Demarcus Robinson,WR,SF,336.0,0,Active
10225,Jonathan Mingo,WR,DAL,336.0,0,Active
6853,Van Jefferson,WR,TEN,336.0,0,Active
7608,Khalil Herbert,RB,FA,336.0,0,Active
12539,Arian Smith,WR,NYJ,336.0,0,Active
8129,Dameon Pierce,RB,HOU,336.0,0,Active
12473,Mitchell Evans,TE,CAR,336.0,0,Active
9497,Jalin Hyatt,WR,NYG,343.5,0,Active
2749,Raheem Mostert,RB,LV,343.5,0,Active
11435,Emanuel Wilson,RB,GB,343.5,0,Active
6828,A.J. Dillon,RB,PHI,343.5,0,Active
10866,Aidan O'Connell,QB,LV,343.5,0,Active
4972,Mason Rudolph,QB,PIT,343.5,0,Active
1166,Kirk Cousins,QB,ATL,349.5,0,Active
8139,Zamir White,RB,LV,349.5,0,Active
12738,Phil Mafah,RB,DAL,349.5,0,Active
5987,Alexander Mattison,RB,MIA,349.5,0,Active
12516,Kalel Mullings,RB,TEN,349.5,0,Active
12048,George Holani,RB,SEA,349.5,0,Active
10231,Elijah Higgins,TE,ARI,358.0,0,Active
4147,Samaje Perine,RB,CIN,358.0,0,Active
